0	 zˈiəɹəʊ
loner	 lˈəʊnə
loner's	 lˈəʊnəz
lonesome	 lˈəʊnsʌm
lonesomely	 lˈəʊnsʌmli
lonesomeness	 lˈəʊnsʌmnəs
lonesomeness	 lˈəʊnsʌmnəs
lonesomeness's	 lˈəʊnsəmnəsɪz
long's	 lˈɒŋz
long	 lˈɒŋ
longing	 lˈɒŋɪŋ
longed	 lˈɒŋd
longest	 lˈɒŋɡəst
longs	 lˈɒŋz
prolonging	 pɹəlˈɒŋɪŋ
prolonged	 pɹəlˈɒŋd
prolongs	 pɹəlˈɒŋz
prolong	 pɹəlˈɒŋ
longboat	 lˈɒŋbəʊt
longboats	 lˈɒŋbəʊts
longboat's	 lˈɒŋbəʊts
longbow	 lˈɒŋbəʊ
longbows	 lˈɒŋbəʊz
longbow's	 lˈɒŋbəʊz
longer	 lˈɒŋɡə
longevity	 ləndʒˈɛvɪti
longevity's	 ləndʒˈɛvɪtiz
longhair	 lˈɒŋheə
longhairs	 lˈɒŋheəz
longhair's	 lˈɒŋheəz
longhand	 lˈɒŋhand
longhand's	 lˈɒŋhandz
longhorn	 lˈɒŋhɔːn
longhorns	 lˈɒŋhɔːnz
longhorn's	 lˈɒŋhɔːnz
longhouse	 lˈɒŋhaʊs
longhouses	 lˈɒŋhaʊzɪz
longing	 lˈɒŋɪŋ
longingly	 lˈɒŋɪŋlɪ
longings	 lˈɒŋɪŋz
longing's	 lˈɒŋɪŋz
longish	 lˈɒŋɡɪʃ
longitude	 lˈɒndʒɪtjˌuːd
longitudes	 lˈɒndʒɪtjˌuːdz
longitude's	 lˈɒndʒɪtjˌuːdz
longitudinal	 lˈɒndʒɪtjˌuːdɪnəl
longitudinally	 lˈɒndʒɪtjˌuːdɪnəli
longshoreman	 lˈɒŋʃɔːmən
longshoreman's	 lˈɒŋʃɔːmənz
longshoremen	 lˈɒŋʃɔːmˌɛn
longsighted	 lˈɒŋsaɪtɪd
longstanding	 lˈɒŋstandɪŋ
longtime	 lˈɒŋtaɪm
longueur	 lˈɒŋɜː
longueurs	 lˈɒŋɜːz
longueur's	 lˈɒŋɜːz
longways	 lˈɒŋweɪz
loo	 lˈuː
loofah	 lˈuːfə
loofah's	 lˈuːfəz
loofahs	 lˈuːfəz
look	 lˈʊk
looking	 lˈʊkɪŋ
looked	 lˈʊkt
looker	 lˈʊkə
lookers	 lˈʊkəz
looks	 lˈʊks
look's	 lˈʊks
lookalike	 lˈʊkəlˌaɪk
lookalikes	 lˈʊkəlˌaɪks
lookalike's	 lˈʊkəlˌaɪkz
looker	 lˈʊkə
looker's	 lˈʊkəz
lookout	 lˈʊkaʊt
lookouts	 lˈʊkaʊts
lookout's	 lˈʊkaʊts
lookup	 lˈʊkʌp
loom	 lˈuːm
looming	 lˈuːmɪŋ
loomed	 lˈuːmd
looms	 lˈuːmz
loom's	 lˈuːmz
loon	 lˈuːn
loons	 lˈuːnz
loon's	 lˈuːnz
loonie	 lˈuːni
loonie's	 lˈuːniz
loony	 lˈuːni
looniest	 lˈuːnɪəst
loonier	 lˈuːnɪə
loonies	 lˈuːnɪz
loony's	 lˈuːniz
loop	 lˈuːp
looping	 lˈuːpɪŋ
looped	 lˈuːpt
loops	 lˈuːps
loop's	 lˈuːps
loophole	 lˈuːphəʊl
loopholes	 lˈuːphəʊlz
loophole's	 lˈuːphəʊlz
loopy	 lˈuːpi
loopiest	 lˈuːpɪəst
loopier	 lˈuːpɪə
loos	 lˈuːz
loosen	 lˈuːsən
loosens	 lˈuːsənz
looser	 lˈuːzə
loose	 lˈuːs
loosing	 lˈuːsɪŋ
loosed	 lˈuːsd
loosest	 lˈuːsəst
looses	 lˈuːsɪz
unloosing	 ʌnlˈuːsɪŋ
unloosed	 ʌnlˈuːsd
unlooses	 ʌnlˈuːsɪz
unloose	 ʌnlˈuːs
loosely	 lˈuːsli
loosen	 lˈuːsən
loosening	 lˈuːsənɪŋ
loosened	 lˈuːsənd
loosens	 lˈuːsənz
unloosening	 ʌnlˈuːsənɪŋ
unloosened	 ʌnlˈuːsənd
unloosens	 ʌnlˈuːsənz
unloosen	 ʌnlˈuːsən
looseness	 lˈuːsnəs
looseness's	 lˈuːsnəsɪz
loot	 lˈuːt
looting	 lˈuːtɪŋ
looted	 lˈuːtɪd
looter	 lˈuːtə
looters	 lˈuːtəz
loots	 lˈuːts
loot's	 lˈuːts
looter	 lˈuːtə
looter's	 lˈuːtəz
looting	 lˈuːtɪŋ
looting's	 lˈuːtɪŋz
lop	 lˈɒp
lops	 lˈɒps
lope	 lˈəʊp
loping	 lˈəʊpɪŋ
loped	 lˈəʊpt
lopes	 lˈəʊps
lope's	 lˈəʊpz
lopped	 lˈɒpt
lopping	 lˈɒpɪŋ
lopsided	 lˈɒpsaɪdɪd
lopsidedly	 lˈɒpsaɪdˌɪdlɪ
lopsidedness	 lˈɒpsaɪdɪdnəs
lopsidedness	 lˈɒpsaɪdɪdnəs
lopsidedness's	 lˈɒpsaɪdɪdnəsɪz
loquacious	 ləkwˈeɪʃəs
loquaciously	 ləkwˈeɪʃəsli
loquaciousness	 ləkwˈeɪʃəsnəs
loquaciousness	 ləkwˈeɪʃəsnəs
loquaciousness's	 ləkwˈeɪʃəsnəsɪz
loquacity	 ləkwˈasɪti
loquacity's	 ləkwˈasɪtiz
lord	 lˈɔːd
lordly	 lˈɔːdli
lording	 lˈɔːdɪŋ
lorded	 lˈɔːdɪd
lords	 lˈɔːdz
lord's	 lˈɔːdz
lordliness	 lˈɔːdlinəs
lordliness's	 lˈɔːdlinəsɪz
lordly	 lˈɔːdli
lordliest	 lˈɔːdliəst
lordlier	 lˈɔːdliə
lordliness	 lˈɔːdlinəs
lordship	 lˈɔːdʃɪp
lordships	 lˈɔːdʃɪps
lordship's	 lˈɔːdʃɪps
lore	 lˈɔː
lore's	 lˈɔːz
lorgnette	 lɔːɡnˈɛt
lorgnettes	 lɔːɡnˈɛts
lorgnette's	 lɔːɡnˈɛts
loris	 lˈɔːɹɪs
lorises	 lˈɔːɹaɪzɪz
loris's	 lˈɔːɹɪsɪz
lorn	 lˈɔːn
lorry	 lˈɒɹi
lorries	 lˈɒɹɪz
lorry's	 lˈɒɹiz
lose	 lˈuːz
losing	 lˈuːzɪŋ
losings	 lˈuːzɪŋz
loser	 lˈuːzə
losers	 lˈuːzəz
loses	 lˈuːzɪz
loser	 lˈuːzə
loser's	 lˈuːzəz
losing	 lˈuːzɪŋ
losing's	 lˈuːzɪŋz
loss	 lˈɒs
losses	 lˈɒsɪz
loss's	 lˈɒsɪz
lossless	 lˈɒsləs
lost	 lˈɒst
lot	 lˈɒt
lots	 lˈɒts
lot's	 lˈɒts
lotion	 lˈəʊʃən
lotions	 lˈəʊʃənz
lotion's	 lˈəʊʃənz
lottery	 lˈɒtəɹi
lotteries	 lˈɒtəɹiz
lottery's	 lˈɒtəɹiz
lotto	 lˈɒtəʊ
lotto's	 lˈɒtəʊz
lotus	 lˈəʊtəs
lotuses	 lˈəʊtəsɪz
lotus's	 lˈəʊtəsɪz
louche	 lˈaʊtʃ
loud	 lˈaʊd
loudly	 lˈaʊdli
loudest	 lˈaʊdəst
louder	 lˈaʊdə
loudness	 lˈaʊdnəs
loudhailer	 lˈaʊdheɪlə
loudhailers	 lˈaʊdheɪləz
loudhailer's	 lˈaʊdheɪləz
loudmouth	 lˈaʊdmaʊθ
loudmouthed	 lˈaʊdmaʊðd
loudmouth's	 lˈaʊdmaʊθz
loudmouths	 lˈaʊdmaʊθs
loudness	 lˈaʊdnəs
loudness's	 lˈaʊdnəsɪz
loudspeaker	 lˈaʊdspiːkə
loudspeakers	 lˈaʊdspiːkəz
loudspeaker's	 lˈaʊdspiːkəz
lough	 lˈʌf
loughs	 lˈʌfz
lounge	 lˈaʊndʒ
lounging	 lˈaʊndʒɪŋ
lounged	 lˈaʊndʒd
lounger	 lˈaʊndʒə
loungers	 lˈaʊndʒəz
lounges	 lˈaʊndʒɪz
lounge's	 lˈaʊndʒɪz
lounger	 lˈaʊndʒə
lounger's	 lˈaʊndʒəz
lour	 lˈɜː
louring	 lˈɜːɹɪŋ
loured	 lˈɜːd
lours	 lˈɜːz
louse's	 lˈaʊsɪz
louse	 lˈaʊs
lousing	 lˈaʊsɪŋ
loused	 lˈaʊsd
louses	 lˈaʊsɪz
delousing	 dɪlˈaʊsɪŋ
deloused	 dɪlˈaʊsd
delouses	 dɪlˈaʊsɪz
delouse	 dɪlˈaʊs
lousily	 lˈaʊsɪlɪ
lousiness	 lˈaʊsɪnəs
lousiness's	 lˈaʊsɪnəsɪz
lousy	 lˈaʊsi
lousiest	 lˈaʊsɪəst
lousier	 lˈaʊsɪə
lousiness	 lˈaʊsɪnəs
lout	 lˈaʊt
louts	 lˈaʊts
lout's	 lˈaʊts
loutish	 lˈaʊtɪʃ
loutishly	 lˈaʊtɪʃli
loutishness	 lˈaʊtɪʃnəs
louvre	 lˈuːvə
louvred	 lˈuːvɹəd
louvres	 lˈuːvəz
louvre's	 lˈuːvəz
lovableness	 lˈʌvəbəlnəs
lovableness's	 lˈʌvəbəlnəsɪz
lovably	 lˈʌvəblɪ
love	 lˈʌv
lovely	 lˈʌvli
loving	 lˈʌvɪŋ
loved	 lˈʌvd
lover	 lˈʌvə
lovers	 lˈʌvəz
loves	 lˈʌvz
love's	 lˈʌvz
lovable	 lˈʌvəbəl
lovebird	 lˈʌvbɜːd
lovebirds	 lˈʌvbɜːdz
lovebird's	 lˈʌvbɜːdz
lovechild	 lˈʌvtʃaɪld
lovechild's	 lˈʌvtʃaɪldz
loved	 lˈʌvd
unloved	 ʌnlˈʌvd
loveless	 lˈʌvləs
loveliness	 lˈʌvlinəs
loveliness's	 lˈʌvlinəsɪz
lovelorn	 lˈʌvlɔːn
lovely	 lˈʌvli
loveliest	 lˈʌvliəst
lovelier	 lˈʌvliə
lovelies	 lˈʌvliz
loveliness	 lˈʌvlinəs
lovely's	 lˈʌvliz
lovemaking	 lˈʌvmeɪkɪŋ
lovemaking's	 lˈʌvmeɪkɪŋz
lover	 lˈʌvə
lover's	 lˈʌvəz
lovesick	 lˈʌvsɪk
lovey	 lˈʌvi
loveys	 lˈʌvɪz
loving	 lˈʌvɪŋ
lovingly	 lˈʌvɪŋlɪ
low	 lˈəʊ
lowly	 lˈəʊli
lowing	 lˈəʊɪŋ
lowed	 lˈəʊd
lowest	 lˈəʊəst
lower	 lˈəʊə
lowers	 lˈəʊəz
lows	 lˈəʊz
lowness	 lˈəʊnəs
low's	 lˈəʊz
lowborn	 lˈəʊbɔːn
lowboy	 lˈəʊbɔɪ
lowboys	 lˈəʊbɔɪz
lowboy's	 lˈəʊbɔɪz
lowbrow	 lˈəʊbɹaʊ
lowbrows	 lˈəʊbɹaʊz
lowbrow's	 lˈəʊbɹaʊz
lowdown	 lˈəʊdaʊn
lowdown's	 lˈəʊdaʊnz
lower	 lˈəʊə
lowering	 lˈəʊəɹɪŋ
lowered	 lˈəʊəd
lowercase	 lˈəʊəkˌeɪs
lowercase's	 lˈəʊəkˌeɪsɪz
lowermost	 lˈəʊəmˌəʊst
lowish	 lˈəʊɪʃ
lowland	 lˈəʊlənd
lowlander	 lˈəʊləndə
lowlanders	 lˈəʊləndəz
lowlands	 lˈəʊləndz
lowland's	 lˈəʊləndz
lowlander	 lˈəʊləndə
lowlander's	 lˈəʊləndəz
lowlife	 lˈəʊlaɪf
lowlifes	 lˈəʊlaɪfs
lowlife's	 lˈəʊlaɪfz
lowliness	 lˈəʊlinəs
lowliness's	 lˈəʊlinəsɪz
lowly	 lˈəʊli
lowliest	 lˈəʊliəst
lowlier	 lˈəʊliə
lowliness	 lˈəʊlinəs
lowness	 lˈəʊnəs
lowness's	 lˈəʊnəsɪz
lox	 lˈɒks
lox's	 lˈɒksɪz
loyal	 lˈɔɪəl
loyally	 lˈɔɪəli
loyalest	 lˈɔɪeɪləst
disloyally	 dɪslˈɔɪəli
disloyal	 dɪslˈɔɪəl
loyaler	 lˈɔɪeɪlə
loyalism	 lˈɔɪəlˌɪzəm
loyalism's	 lˈɔɪəlˌɪzəmz
loyalist	 lˈɔɪəlˌɪst
loyalists	 lˈɔɪəlˌɪsts
loyalist's	 lˈɔɪəlˌɪsts
loyalties	 lˈɔɪəltɪz
loyalty	 lˈɔɪəlti
loyalty's	 lˈɔɪəltiz
disloyalty's	 dɪslˈɔɪəltiz
disloyalty	 dɪslˈɔɪəlti
lozenge	 lˈəʊzəndʒ
lozenges	 lˈəʊzəndʒɪz
lozenge's	 lˈəʊzəndʒˌɪz
ltd	 lˈɪmɪtɪd
luau	 lˈuːaʊ
luaus	 lˈuːaʊz
luau's	 lˈuːaʊz
lubber	 lˈʌbə
lubberly	 lˈʌbəli
lubbers	 lˈʌbəz
lubber's	 lˈʌbəz
lube	 lˈuːb
lubing	 lˈuːbɪŋ
lubed	 lˈuːbd
lubes	 lˈuːbz
lube's	 lˈuːbz
lubricant	 lˈuːbɹɪkənt
lubricants	 lˈuːbɹɪkənts
lubricant's	 lˈuːbɹɪkənts
lubricate	 lˈuːbɹɪkˌeɪt
lubrication	 lˌuːbɹɪkˈeɪʃən
lubricating	 lˈuːbɹɪkˌeɪtɪŋ
lubricated	 lˈuːbɹɪkˌeɪtɪd
lubricates	 lˈuːbɹɪkˌeɪts
lubrication	 lˌuːbɹɪkˈeɪʃən
lubrication's	 lˌuːbɹɪkˈeɪʃənz
lubricator	 lˈuːbɹɪkˌeɪtə
lubricators	 lˈuːbɹɪkˌeɪtəz
lubricator's	 lˈuːbɹɪkˌeɪtəz
lubricious	 luːbɹˈɪʃəs
lubriciously	 luːbɹˈɪʃəsli
lubricity	 luːbɹˈɪsɪti
lubricity's	 luːbɹˈɪsɪtiz
lucid	 lˈuːsɪd
lucidly	 lˈuːsɪdli
lucidness	 lˈuːsɪdnəs
lucidity	 luːsˈɪdɪti
lucidity's	 luːsˈɪdɪtiz
lucidness	 lˈuːsɪdnəs
lucidness's	 lˈuːsɪdnəsɪz
luck	 lˈʌk
lucking	 lˈʌkɪŋ
lucked	 lˈʌkt
lucks	 lˈʌks
luck's	 lˈʌks
luckily	 lˈʌkilɪ
unluckily	 ʌnlˈʌkilɪ
luckiness	 lˈʌkinəs
luckiness's	 lˈʌkinəsɪz
unluckiness's	 ʌnlˈʌkinəsɪz
unluckiness	 ʌnlˈʌkinəs
luckless	 lˈʌkləs
lucky	 lˈʌki
luckiest	 lˈʌkiəst
luckier	 lˈʌkiə
luckiness	 lˈʌkinəs
unluckier	 ʌnlˈʌkiə
unluckiness	 ʌnlˈʌkinəs
unlucky	 ʌnlˈʌki
lucrative	 lˈuːkɹətˌɪv
lucratively	 lˈuːkɹətˌɪvli
lucrativeness	 lˈuːkɹətˌɪvnəs
lucrativeness	 lˈuːkɹətˌɪvnəs
lucrativeness's	 lˈuːkɹətˌɪvnəsɪz
lucre	 lˈuːkə
lucre's	 lˈuːkɹəz
lucubrate	 lˈuːkəbɹˌeɪt
lucubration	 lˌuːkəbɹˈeɪʃən
lucubrating	 lˈuːkəbɹˌeɪtɪŋ
lucubrated	 lˈuːkəbɹˌeɪtɪd
lucubrates	 lˈuːkəbɹˌeɪts
lucubration	 lˌuːkəbɹˈeɪʃən
lucubration's	 lˌuːkəbɹˈeɪʃənz
ludicrous	 lˈuːdɪkɹəs
ludicrously	 lˈuːdɪkɹəsli
ludicrousness	 lˈuːdɪkɹəsnəs
ludicrousness	 lˈuːdɪkɹəsnəs
ludicrousness's	 lˈuːdɪkɹəsnəsɪz
ludo	 lˈuːdəʊ
luff	 lˈʌf
luffing	 lˈʌfɪŋ
luffed	 lˈʌft
luffs	 lˈʌfs
lug	 lˈʌɡ
lugs	 lˈʌɡz
lug's	 lˈʌɡz
luge	 lˈuːdʒ
luges	 lˈuːdʒɪz
luggage	 lˈʌɡɪdʒ
luggage's	 lˈʌɡɪdʒz
lugged	 lˈʌɡd
lugger	 lˈʌɡə
luggers	 lˈʌɡəz
lugger's	 lˈʌɡəz
lugging	 lˈʌɡɪŋ
lughole	 lˈʌɡhəʊl
lugholes	 lˈʌɡhəʊlz
lugsail	 lˈʌɡseɪl
lugsails	 lˈʌɡseɪlz
lugsail's	 lˈʌɡseɪlz
lugubrious	 luːɡˈʌbɹɪəs
lugubriously	 luːɡˈʌbɹɪəsli
lugubriousness	 luːɡˈʌbɹɪəsnəs
lugubriousness	 luːɡˈʌbɹɪəsnəs
lugubriousness's	 luːɡˈʌbɹɪəsnəsɪz
lukewarm	 lˈuːkwɔːm
lukewarmly	 lˈuːkwɔːmli
lukewarmness	 lˈuːkwɔːmnəs
lukewarmness	 lˈuːkwɔːmnəs
lukewarmness's	 lˈuːkwɔːmnəsɪz
lull	 lˈʌl
lulling	 lˈʌlɪŋ
lulled	 lˈʌld
lulls	 lˈʌlz
lull's	 lˈʌlz
lullaby	 lˈʌləbˌaɪ
lullabies	 lˈʌləbˌaɪz
lullaby's	 lˈʌləbˌaɪz
lulu	 lˈuːluː
lulus	 lˈuːləs
lumbago	 lʌmbˈeɪɡəʊ
lumbago's	 lʌmbˈeɪɡəʊz
lumbar	 lˈʌmbɑː
lumber	 lˈʌmbə
lumbering	 lˈʌmbəɹɪŋ
lumbered	 lˈʌmbəd
lumberer	 lˈʌmbəɹə
lumberers	 lˈʌmbəɹəz
lumbers	 lˈʌmbəz
lumber's	 lˈʌmbəz
lumberer	 lˈʌmbəɹə
lumberer's	 lˈʌmbəɹəz
lumbering	 lˈʌmbəɹɪŋ
lumbering's	 lˈʌmbəɹɪŋz
lumberjack	 lˈʌmbədʒˌak
lumberjacks	 lˈʌmbədʒˌaks
lumberjack's	 lˈʌmbədʒˌaks
lumberman	 lˈʌmbəmən
lumberman's	 lˈʌmbəmənz
lumbermen	 lˈʌmbəmˌɛn
lumberyard	 lˈʌmbəjˌɑːd
lumberyards	 lˈʌmbəjˌɑːdz
lumberyard's	 lˈʌmbəjˌɑːdz
luminary	 lˈuːmɪnəɹi
luminaries	 lˈuːmɪnəɹiz
luminary's	 lˈuːmɪnəɹiz
luminescence	 lˌuːmɪnˈɛsəns
luminescence's	 lˌuːmɪnˈɛsənsˌɪz
luminescent	 lˌuːmɪnˈɛsənt
luminosity	 lˌuːmɪnˈɒsɪti
luminosity's	 lˌuːmɪnˈɒsɪtiz
luminous	 lˈuːmɪnəs
luminously	 lˈuːmɪnəsli
lummox	 lˈʌmɒks
lummoxes	 lˈʌmɒksɪz
lummox's	 lˈʌmɒksɪz
lump	 lˈʌmp
lumpen	 lˈʌmpən
lumping	 lˈʌmpɪŋ
lumped	 lˈʌmpt
lumps	 lˈʌmps
lump's	 lˈʌmps
lumpectomy	 lʌmpˈɛktəmɪ
lumpectomies	 lʌmpˈɛktəmɪz
lumpiness	 lˈʌmpɪnəs
lumpiness's	 lˈʌmpɪnəsɪz
lumpish	 lˈʌmpɪʃ
lumpy	 lˈʌmpi
lumpiest	 lˈʌmpɪəst
lumpier	 lˈʌmpɪə
lumpiness	 lˈʌmpɪnəs
lunacy	 lˈuːnəsi
lunacies	 lˈuːnəsɪz
lunacy's	 lˈuːnəsiz
lunar	 lˈuːnə
lunatic	 lˈuːnətˌɪk
lunatics	 lˈuːnətˌɪks
lunatic's	 lˈuːnətˌɪkz
lunch	 lˈʌntʃ
lunching	 lˈʌntʃɪŋ
lunched	 lˈʌntʃt
lunches	 lˈʌntʃɪz
lunch's	 lˈʌntʃɪz
lunchbox	 lˈʌntʃbɒks
lunchboxes	 lˈʌntʃbɒksɪz
luncheon	 lˈʌntʃən
luncheons	 lˈʌntʃənz
luncheon's	 lˈʌntʃənz
luncheonette	 lˌʌntʃənˈɛt
luncheonettes	 lˌʌntʃənˈɛts
luncheonette's	 lˌʌntʃənˈɛts
lunchroom	 lˈʌntʃ ɹuːm
lunchrooms	 lˈʌntʃ ɹuːmz
lunchroom's	 lˈʌntʃ ɹuːmz
lunchtime	 lˈʌntʃtaɪm
lunchtimes	 lˈʌntʃtaɪmz
lunchtime's	 lˈʌntʃtaɪmz
lung	 lˈʌŋ
lunging	 lˈʌndʒɪŋ
lunged	 lˈʌndʒd
lungs	 lˈʌŋz
lung's	 lˈʌŋz
lunge	 lˈʌndʒ
lunges	 lˈʌndʒɪz
lunge's	 lˈʌndʒɪz
lungfish	 lˈʌŋfɪʃ
lungfishes	 lˈʌŋfɪʃɪz
lungfish's	 lˈʌŋfɪʃɪz
lungful	 lˈʌŋfəl
lungfuls	 lˈʌŋfəlz
lunkhead	 lˈʌŋkhɛd
lunkheads	 lˈʌŋkhɛdz
lunkhead's	 lˈʌŋkhɛdz
lupin	 lˈuːpɪn
lupins	 lˈuːpɪnz
lupin's	 lˈuːpɪnz
lupine	 lˈuːpaɪn
lupus	 lˈuːpəs
lupus's	 lˈuːpəsɪz
lurch	 lˈɜːtʃ
lurching	 lˈɜːtʃɪŋ
lurched	 lˈɜːtʃt
lurches	 lˈɜːtʃɪz
lurch's	 lˈɜːtʃɪz
lure	 lˈʊə
luring	 lˈʊəɹɪŋ
lured	 lˈʊəd
lures	 lˈʊəz
lure's	 lˈʊəz
lurgy	 lˈɜːdʒi
lurid	 lˈʊəɹɪd
luridly	 lˈʊəɹɪdli
luridness	 lˈʊəɹɪdnəs
luridness	 lˈʊəɹɪdnəs
luridness's	 lˈʊəɹɪdnəsɪz
lurk	 lˈɜːk
lurking	 lˈɜːkɪŋ
lurked	 lˈɜːkt
lurker	 lˈɜːkə
lurkers	 lˈɜːkəz
lurks	 lˈɜːks
luscious	 lˈʌʃəs
lusciously	 lˈʌʃəsli
lusciousness	 lˈʌʃəsnəs
lusciousness	 lˈʌʃəsnəs
lusciousness's	 lˈʌʃəsnəsɪz
lush	 lˈʌʃ
lushly	 lˈʌʃli
lushest	 lˈʌʃəst
lusher	 lˈʌʃə
lushes	 lˈʌʃɪz
lushness	 lˈʌʃnəs
lush's	 lˈʌʃɪz
lushness	 lˈʌʃnəs
lushness's	 lˈʌʃnəsɪz
lust	 lˈʌst
lusting	 lˈʌstɪŋ
lusted	 lˈʌstɪd
lusts	 lˈʌsts
lust's	 lˈʌsts
lustful	 lˈʌstfəl
lustfully	 lˈʌstfəlɪ
lustily	 lˈʌstɪlɪ
lustiness	 lˈʌstɪnəs
lustiness's	 lˈʌstɪnəsɪz
lustre	 lˈʌstə
lustre's	 lˈʌstɹəz
lustreless	 lˈʌstələs
lustrous	 lˈʌstɹəs
lustrously	 lˈʌstɹəsli
lusty	 lˈʌsti
lustiest	 lˈʌstɪəst
lustier	 lˈʌstɪə
lustiness	 lˈʌstɪnəs
lutanist	 lˈuːtɐnˌɪst
lutanists	 lˈuːtɐnˌɪsts
lutanist's	 lˈuːtɐnˌɪsts
lute	 lˈuːt
lutes	 lˈuːts
lute's	 lˈuːts
lutenist	 lˈuːtənˌɪst
lutenists	 lˈuːtənˌɪsts
lutenist's	 lˈuːtənˌɪsts
lutetium	 luːtˈiːtiəm
lutetium's	 luːtˈiːtiəmz
luxuriance	 lˈʌɡʒjʊɹˌiəns
luxuriance's	 lˈʌɡʒjʊɹˌiənsɪz
luxuriant	 lˈʌɡʒjʊɹˌiənt
luxuriantly	 lˈʌɡʒjʊɹˌiəntli
luxuriate	 lʌɡʒjˈʊɹɪˌeɪt
luxuriation	 lˌʌɡʒjʊɹɪˈeɪʃən
luxuriating	 lʌɡʒjˈʊɹɪˌeɪtɪŋ
luxuriated	 lʌɡʒjˈʊɹɪˌeɪtɪd
luxuriates	 lʌɡʒjˈʊɹɪˌeɪts
luxuriation	 lˌʌɡʒjʊɹɪˈeɪʃən
luxuriation's	 lˌʌɡʒjʊɹɪˈeɪʃənz
luxurious	 lʌɡʒjˈʊɹɪəs
luxuriously	 lʌɡʒjˈʊɹɪəsli
luxuriousness	 lʌɡʒjˈʊɹɪəsnəs
luxuriousness	 lʌɡʒjˈʊɹɪəsnəs
luxuriousness's	 lʌɡʒjˈʊɹɪəsnəsɪz
luxury	 lˈʌkʃəɹˌi
luxuries	 lˈʌkʃəɹˌiz
luxury's	 lˈʌkʃəɹˌiz
lvi	 ˌɛlvˌiːˈaɪ
lvii	 ˈɛlvˈɪaɪ
lxi	 ˌɛlˌɛksˈaɪ
lxii	 ˈɛlzˈɪaɪ
lxiv	 ˈɛlzˈɪv
lxix	 ˈɛlzˈɪks
lxvi	 ˌɛlˌɛksvˌiːˈaɪ
lxvii	 ˌɛlˈɛksvˈɪaɪ
lyceum	 laɪsˈiːəm
lyceums	 laɪsˈiːəmz
lyceum's	 laɪsˈiːəmz
lychgate	 lˈɪtʃɡeɪt
lychgates	 lˈɪtʃɡeɪts
lye	 lˈaɪ
lying	 lˈaɪɪŋ
lye's	 lˈaɪz
lying	 lˈaɪɪŋ
lying's	 lˈaɪɪŋz
lymph	 lˈɪmf
lymph's	 lˈɪmfz
lymphatic	 lɪmfˈatɪk
lymphatics	 lɪmfˈatɪks
lymphatic's	 lɪmfˈatɪkz
lymphocyte	 lˈɪmfəsˌaɪt
lymphocytes	 lˈɪmfəsˌaɪts
lymphocyte's	 lˈɪmfəsˌaɪtz
lymphoid	 lˈɪmfɔɪd
lymphoma	 lɪmfˈəʊmə
lymphomas	 lɪmfˈəʊməz
lymphoma's	 lɪmfˈəʊməz
lynch	 lˈɪntʃ
lynching	 lˈɪntʃɪŋ
lynchings	 lˈɪntʃɪŋz
lynched	 lˈɪntʃt
lyncher	 lˈɪntʃə
lynchers	 lˈɪntʃəz
lynches	 lˈɪntʃɪz
lyncher	 lˈɪntʃə
lyncher's	 lˈɪntʃəz
lynching	 lˈɪntʃɪŋ
lynching's	 lˈɪntʃɪŋz
lynx	 lˈɪŋks
lynxes	 lˈɪŋksɪz
lynx's	 lˈɪŋksɪz
lyre	 lˈaɪə
lyres	 lˈaɪəz
lyre's	 lˈaɪəz
lyrebird	 lˈaɪɹɪbˌɜːd
lyrebirds	 lˈaɪɹɪbˌɜːdz
lyrebird's	 lˈaɪɹɪbˌɜːdz
lyric	 lˈɪɹɪk
lyrics	 lˈɪɹɪks
lyric's	 lˈɪɹɪkz
lyrical	 lˈɪɹɪkəl
lyrically	 lˈɪɹɪkli
lyricism	 lˈɪɹɪsˌɪzəm
lyricism's	 lˈɪɹɪsˌɪzəmz
lyricist	 lˈɪɹɪsˌɪst
lyricists	 lˈɪɹɪsˌɪsts
lyricist's	 lˈɪɹɪsˌɪsts
lysosomal	 lˈaɪsəsˌɒməl
lysosomes	 lˈaɪsəsˌəʊmz
m	 ˈɛm
ms	 ˌɛmˈɛs
rems	 ɹˈɛmz
proms	 pɹˈɒmz
rem	 ɹˈɛm
prom	 pɹˈɒm
ma'am	 mˈaam
ma	 mˈɑː
mas	 mˈas
ma's	 mˈɑːz
mac	 mˈak
macing	 mˈeɪsɪŋ
maced	 mˈeɪsd
macs	 mˈaks
mac's	 mˈakz
macabre	 məkˈɑːbɹə
macadam	 məkˈadəm
macadam's	 məkˈadəmz
macadamia	 mˌakədˈeɪmiə
macadamias	 mˌakədˈeɪmiəz
macadamia's	 mˌakədˈeɪmiəz
macadamise	 məkˈadɐmˌaɪz
macadamising	 məkˈadɐmˌaɪzɪŋ
macadamised	 məkˈadɐmˌaɪzd
macadamises	 məkˈadɐmˌaɪzɪz
macaque	 mˈakak
macaques	 mˈakaks
macaque's	 mˈakakz
macaroni	 mˌakɐɹˈəʊni
macaronis	 mˌakɐɹˈəʊniz
macaroni's	 mˌakɐɹˈəʊniz
macaroon	 mˌakɐɹˈuːn
macaroons	 mˌakɐɹˈuːnz
macaroon's	 mˌakɐɹˈuːnz
macaw	 mˈakɔː
macaws	 mˈakɔːz
macaw's	 mˈakɔːz
mace	 mˈeɪs
maces	 mˈeɪsɪz
mace's	 mˈeɪsɪz
macerate	 mˈasəɹˌeɪt
